n_total,freq_knots,likelihood,repeat,mse,coverage,ci_width,native_mse,wall_time_s,rhat,neff
1152,8,wdm,26,0.06932423336752157,0.9638888888888889,1.1202307632475814,0.10197047640571325,9.249776266005938,1.0080480239621268,240.81793048654734
1152,8,wdm,27,0.07545479644480761,0.9655555555555555,1.1034924027417188,0.12583491947498016,9.076543249000679,0.9998837069356494,383.0529421831777
1152,8,wdm,28,0.10983041079405388,0.9108333333333334,1.1288437518231986,0.1374315428081592,9.404925469003501,1.0073699194386643,254.16701785676483
1152,8,wdm,29,0.11570250843179022,0.9025,1.1521183651535902,0.1487996118373809,9.877111205001711,0.9997378302691118,222.2290580565373
1152,8,mp,0,0.11200056746334983,0.8994444444444445,1.1000068617948704,0.5765713307073038,9.547408063997864,1.0063734232129662,294.3701778504873
1152,8,mp,1,0.11257203351351276,0.8972222222222223,1.0923626415029586,0.5957468000403481,8.598585214000195,1.0016405862760638,313.871248357682
1152,8,mp,2,0.08501704771763,0.9558333333333333,1.095538369696267,0.5585427111438559,8.704489848998492,1.0058515344985524,257.07156924971366
1152,8,mp,3,0.08112363511080488,0.9538888888888889,1.107655198827334,0.5602092591432397,8.746394173009321,1.0068019920235853,239.56029143482496
1152,8,mp,4,0.08439851229835865,0.9361111111111111,1.1075403676216768,0.5671253008037361,8.805712706001941,1.0175851299193848,265.13654395217077
1152,8,mp,5,0.07604239985932179,0.9525,1.1006693565036259,0.5664084273081723,8.995877921988722,1.0033314675054705,165.92610851425138
1152,8,mp,6,0.09858810815646597,0.8983333333333333,1.0849495275301244,0.5766697872652843,8.754108053995878,1.0131727524100416,342.4106141069886
1152,8,mp,7,0.1255415883546326,0.8780555555555556,1.1026133010975148,0.5898121008222541,8.849994628995773,1.0128844100290153,280.2709495290339
1152,8,mp,8,0.08096987983666143,0.9486111111111111,1.0800228731288446,0.5564653594061884,8.765471568985959,1.0245814017270007,166.41318034818673
1152,8,mp,9,0.08908111136564907,0.9386111111111111,1.12990649383799,0.5652892106094863,8.929077886001323,1.006815409461483,216.6720206186111
1152,8,mp,10,0.09024958152878625,0.9316666666666666,1.0844176752981554,0.5601185890574164,8.983103467995534,1.0034601213642678,286.98772502354404
1152,8,mp,11,0.0893287413152191,0.9205555555555556,1.1048054886752892,0.5707318957386183,8.950865090009756,1.0006802087845443,319.9634287938475
1152,8,mp,12,0.07376250666068404,0.9577777777777777,1.1089305479578837,0.5730386119551493,8.930866560011054,1.0017785091652374,312.2547563983602
1152,8,mp,13,0.0691566123587347,0.9566666666666667,1.096996024559056,0.5579704841323065,9.112274289000197,1.004563428332203,280.18414408238334
1152,8,mp,14,0.07772763904259666,0.935,1.0835546241243639,0.5664097379452647,9.02581263599859,1.0011941942099243,342.36444165474893
1152,8,mp,15,0.09431039314862423,0.9175,1.115206239874341,0.5619581889680388,9.002154069996323,1.0024346837546707,231.3934002538694
1152,8,mp,16,0.10001438842053643,0.9180555555555555,1.093024701302352,0.5636508034954963,9.173506544000702,1.0021079577733953,332.625965638692
1152,8,mp,17,0.06953092559834796,0.9597222222222223,1.0928664142599984,0.5401595921363262,9.05268499199883,1.013090747853887,232.01734551908544
1152,8,mp,18,0.07274548730018918,0.9483333333333334,1.107031205425163,0.5840921206328697,8.919144872998004,1.0088289868084375,257.72318853569914
1152,8,mp,19,0.09474247011820568,0.9183333333333333,1.0897667089526506,0.574799877779455,8.952778321996448,1.0033912677703243,315.53556774198404
1152,8,mp,20,0.08903781687425691,0.925,1.104197995185014,0.5517606105501723,9.007351783002377,1.001669234637379,329.01275963407414
1152,8,mp,21,0.10336026461304788,0.9158333333333334,1.0984605040915945,0.5968406378203533,9.005868560998351,1.0044195063272392,276.7008464076646
1152,8,mp,22,0.13518623467057952,0.8786111111111111,1.1008750168282724,0.624916019579712,9.0770919790084,1.017305144744322,203.3799382494211
1152,8,mp,23,0.07590624143963254,0.9427777777777778,1.1035617658746375,0.5474196443204692,9.114033174992073,1.003136677796578,331.5584870825029
1152,8,mp,24,0.06819136542277693,0.9627777777777777,1.0950319288850683,0.5487793056828475,8.858130526001332,1.0134352466165055,260.02722175215087
1152,8,mp,25,0.09878866044347812,0.9316666666666666,1.1050175602342671,0.5808608565521486,9.252082491002511,1.0039552848540603,218.45844507898957
1152,8,mp,26,0.09193350856632872,0.9341666666666667,1.0996531623562147,0.5933117383428466,8.926083087004372,1.0053016938152144,181.00127996710228
1152,8,mp,27,0.08413481445677978,0.9333333333333333,1.0845911941887056,0.5668045468866842,9.04475872698822,1.0054379636145865,324.803443680421
1152,8,mp,28,0.13476803897788778,0.8630555555555556,1.1142495610029324,0.6114904652503939,9.12258907299838,1.001613472187609,219.1120231153548
1152,8,mp,29,0.10201303012544724,0.9058333333333334,1.1003239597636212,0.5662003279626571,9.093604344991036,1.0018960528186844,285.6238449112406
2304,8,wdm,0,0.055726785847122956,0.9419444444444445,0.8950674969006367,0.08287781759233463,15.997737746001803,1.002123205983584,349.7126921703784
2304,8,wdm,1,0.054530877009693064,0.9347222222222222,0.8959437423348154,0.06766590441195158,11.38246940598765,1.0181687604231526,242.86253677177683
2304,8,wdm,2,0.05600764082829296,0.9433333333333334,0.902209285854648,0.08972684528921149,11.254551099991659,1.0058888075781471,206.89160648096842
2304,8,wdm,3,0.044717400966930616,0.9555555555555556,0.8945172064061729,0.07580910688380278,11.487043075001566,1.0015456362183637,286.6343264933107
2304,8,wdm,4,0.051047386746530254,0.9452777777777778,0.895901707886965,0.07909070941444353,11.682013149998966,1.0073945747817223,406.17859035943087
